Class,Precision,Recall,F1-score,Support
Black_rot,1.0000,1.0000,1.0000,236
Esca,1.0000,1.0000,1.0000,277
Healthy,0.9884,1.0000,0.9942,85
Leaf_blight,1.0000,0.9954,0.9977,216
Macro Average,0.9971,0.9988,0.9980,814
