Class,Precision,Recall,F1-score,Support
Black_rot,1.0000,0.9915,0.9957,236.0000
Esca,0.9928,1.0000,0.9964,277.0000
Healthy,1.0000,1.0000,1.0000,85.0000
Leaf_blight,1.0000,1.0000,1.0000,216.0000
Macro Average,0.9982,0.9979,0.9980,814.0000
