               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.10236,             0.16117,                   0,             0.61679,              0.4826,             0.52217,             0.25605,             0.09026,             0.14547,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,             0.10116,             0.15941,                   0,             0.63201,             0.48295,             0.52672,             0.25715,            0.090218,             0.14637,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,             0.10152,             0.16004,                   0,             0.62481,             0.49289,             0.52946,             0.25822,            0.090179,             0.14606,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,             0.10238,             0.16313,                   0,             0.62895,             0.48599,             0.52635,             0.26157,            0.090077,             0.14485,                   0,            0.000604,            0.000604,            0.000604
                  42,             0.10126,             0.16185,                   0,             0.63171,             0.48356,             0.52703,             0.25883,            0.089856,             0.14503,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,             0.10151,              0.1611,                   0,             0.62776,             0.48863,             0.52926,             0.26248,            0.089814,             0.14482,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,              0.1016,             0.16194,                   0,             0.63218,             0.49452,             0.53468,             0.26379,            0.089811,             0.14513,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,             0.10083,             0.16057,                   0,             0.63301,             0.50041,             0.53592,             0.26469,            0.089761,             0.14626,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,             0.10137,             0.16079,                   0,             0.62746,             0.50023,             0.53539,             0.26453,            0.089624,             0.14656,                   0,           0.0005545,           0.0005545,           0.0005545
                  47,             0.10142,             0.16254,                   0,             0.63622,             0.49614,             0.53509,             0.26703,            0.089509,             0.14532,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,             0.10136,             0.16272,                   0,             0.64214,              0.4998,             0.53739,             0.26581,            0.089555,             0.14666,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,             0.10013,             0.16091,                   0,             0.65059,              0.4997,             0.54109,             0.27043,            0.089395,             0.14625,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,             0.10044,             0.16235,                   0,             0.64528,             0.50703,             0.54411,             0.27197,            0.089361,             0.14838,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,             0.10026,             0.16317,                   0,             0.64331,             0.49858,             0.54161,             0.27142,            0.089259,             0.14664,                   0,            0.000505,            0.000505,            0.000505
                  52,             0.10101,             0.16006,                   0,             0.64243,             0.50832,             0.54502,             0.27272,            0.089296,             0.14793,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,            0.099731,             0.15877,                   0,             0.63831,             0.50508,             0.54028,             0.26966,            0.089209,             0.14603,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,            0.099654,             0.16182,                   0,             0.63768,             0.50548,             0.54266,             0.27156,            0.089141,             0.14742,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,            0.099926,             0.16122,                   0,             0.63971,             0.50447,             0.54378,             0.27234,            0.089081,             0.14726,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,             0.10048,             0.16077,                   0,             0.64289,             0.49858,             0.54151,              0.2732,            0.088912,             0.14513,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,            0.099096,              0.1562,                   0,             0.64095,             0.49249,              0.5368,             0.27049,            0.088952,             0.14577,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.099321,             0.16038,                   0,             0.64056,             0.49889,             0.54303,             0.27451,            0.088895,             0.14764,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,             0.10058,             0.16011,                   0,             0.64221,             0.50832,             0.54417,             0.27569,            0.088891,             0.14639,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,             0.10056,             0.16345,                   0,             0.65374,             0.50439,             0.54654,             0.27531,            0.088884,             0.14651,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,            0.099724,             0.15927,                   0,             0.65321,             0.49594,             0.54392,             0.27534,             0.08881,             0.14575,                   0,            0.000406,            0.000406,            0.000406
                  62,              0.1002,             0.16047,                   0,             0.64453,             0.50325,             0.54543,             0.27658,            0.088725,             0.14635,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,             0.10096,              0.1626,                   0,             0.65242,             0.50893,             0.55228,             0.27929,            0.088698,             0.14695,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,            0.099429,             0.15958,                   0,             0.63618,             0.51056,             0.54563,             0.27688,            0.088637,             0.14673,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,             0.09995,             0.16262,                   0,             0.63702,             0.50731,             0.54556,             0.27728,             0.08864,             0.14664,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,            0.099757,             0.16224,                   0,              0.6417,             0.50873,              0.5464,             0.27872,            0.088549,             0.14644,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,             0.10034,             0.16224,                   0,             0.65695,              0.5138,             0.55272,             0.28011,            0.088588,             0.14765,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,              0.1004,             0.16204,                   0,             0.64798,             0.51624,             0.55203,             0.27935,             0.08861,             0.14841,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,            0.099579,             0.15908,                   0,             0.64883,             0.50914,             0.55114,             0.28017,             0.08848,               0.147,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,             0.10029,             0.15988,                   0,              0.6419,             0.50914,             0.54822,             0.28026,            0.088513,             0.14703,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,            0.099584,             0.16073,                   0,             0.64007,             0.49639,             0.54451,             0.27807,            0.088328,             0.14553,                   0,            0.000307,            0.000307,            0.000307
                  72,            0.099179,             0.15823,                   0,             0.64568,             0.50467,             0.54766,             0.27996,            0.088338,             0.14636,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,            0.099821,             0.16319,                   0,             0.64696,             0.50528,             0.54858,             0.27922,             0.08844,             0.14664,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,            0.099955,             0.16379,                   0,             0.65377,             0.50771,             0.55252,             0.28303,            0.088346,             0.14707,                   0,           0.0002773,           0.0002773,           0.0002773
                  75,            0.098506,             0.15961,                   0,             0.64835,             0.50873,              0.5494,             0.27998,             0.08832,             0.14675,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,            0.099395,             0.16221,                   0,             0.64526,             0.51035,             0.55042,             0.28164,            0.088344,             0.14679,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,               0.101,             0.16488,                   0,              0.6541,             0.50751,             0.54942,             0.28026,            0.088306,             0.14648,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,            0.099846,             0.16235,                   0,              0.6501,             0.50589,             0.55103,             0.28255,            0.088258,             0.14628,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,             0.09955,             0.16099,                   0,             0.64562,             0.50142,             0.54693,              0.2803,             0.08824,             0.14592,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,             0.10035,              0.1628,                   0,             0.65352,             0.51193,             0.55306,              0.2819,            0.088252,             0.14766,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,            0.099564,             0.16162,                   0,             0.65084,             0.51401,             0.55272,             0.28243,            0.088193,              0.1471,                   0,            0.000208,            0.000208,            0.000208
                  82,            0.099249,             0.16015,                   0,             0.64764,             0.50707,             0.54945,             0.28034,            0.088181,             0.14614,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,             0.09875,             0.15942,                   0,             0.65495,              0.5069,             0.55167,             0.28236,            0.088197,             0.14682,                   0,           0.0001882,           0.0001882,           0.0001882
                  84,             0.10031,             0.16224,                   0,              0.6515,             0.51279,             0.55286,              0.2835,            0.088111,              0.1463,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,             0.10003,              0.1611,                   0,                0.65,             0.51279,             0.55166,             0.28251,            0.088147,             0.14661,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,            0.099411,              0.1613,                   0,             0.64336,             0.51543,             0.55333,             0.28378,            0.088181,             0.14774,                   0,           0.0001585,           0.0001585,           0.0001585
