Class,Precision,Recall,F1-score,Support
Black_rot,1.0000,0.9958,0.9979,236
Esca,0.9964,1.0000,0.9982,277
Healthy,1.0000,1.0000,1.0000,85
Leaf_blight,1.0000,1.0000,1.0000,216
Macro Average,0.9991,0.9989,0.9990,814
