Class,Precision,Recall,F1-score,Support
Black_rot,1.0000,1.0000,1.0000,236
Esca,1.0000,1.0000,1.0000,277
Healthy,0.9659,1.0000,0.9827,85
Leaf_blight,1.0000,0.9861,0.9930,216
Macro Average,0.9915,0.9965,0.9939,814
