epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,81.1429,2.66446,1.64503,0,0.33999,0.32274,0.24382,0.08427,2.65811,1.72012,0,0.00199056,0.00199056,0.00199056
46,82.9338,2.66732,1.63329,0,0.34548,0.32574,0.26119,0.09083,2.62412,1.71761,0,0.00199012,0.00199012,0.00199012
47,84.8304,2.5998,1.60767,0,0.36232,0.33079,0.26819,0.09143,2.6087,1.73416,0,0.00198968,0.00198968,0.00198968
48,86.5112,2.60073,1.61694,0,0.38553,0.33525,0.26955,0.09199,2.58104,1.70985,0,0.00198923,0.00198923,0.00198923
49,88.2888,2.58052,1.59912,0,0.38902,0.33675,0.28907,0.10097,2.54759,1.61499,0,0.00198877,0.00198877,0.00198877
50,90.2899,2.60028,1.5868,0,0.40595,0.34074,0.29591,0.10279,2.54295,1.60775,0,0.00198829,0.00198829,0.00198829
51,91.9922,2.5593,1.57996,0,0.38404,0.32975,0.28833,0.10069,2.5473,1.65924,0,0.00198781,0.00198781,0.00198781
52,93.8635,2.55997,1.58577,0,0.38979,0.34651,0.29424,0.10234,2.53264,1.61138,0,0.00198732,0.00198732,0.00198732
53,95.624,2.52414,1.55894,0,0.39616,0.34401,0.30012,0.10398,2.52625,1.56343,0,0.00198682,0.00198682,0.00198682
54,97.384,2.4742,1.53547,0,0.39959,0.36352,0.31193,0.11222,2.46135,1.5643,0,0.00198631,0.00198631,0.00198631
55,99.2367,2.47881,1.54238,0,0.41352,0.35552,0.31189,0.11396,2.46875,1.58518,0,0.00198579,0.00198579,0.00198579
56,101.054,2.47895,1.5329,0,0.41786,0.35522,0.31339,0.11211,2.46527,1.56281,0,0.00198526,0.00198526,0.00198526
57,102.955,2.44548,1.52128,0,0.40934,0.35402,0.30493,0.11228,2.42197,1.53996,0,0.00198472,0.00198472,0.00198472
58,104.703,2.42413,1.51672,0,0.40015,0.3595,0.30944,0.11226,2.50696,1.54975,0,0.00198417,0.00198417,0.00198417
59,106.419,2.43371,1.52504,0,0.42964,0.34726,0.32467,0.11951,2.47674,1.54197,0,0.00198361,0.00198361,0.00198361
60,108.275,2.40079,1.50026,0,0.43641,0.35652,0.33423,0.12163,2.43638,1.53977,0,0.00198304,0.00198304,0.00198304
61,110.045,2.40966,1.49271,0,0.45089,0.38129,0.33604,0.1219,2.41762,1.56382,0,0.00198246,0.00198246,0.00198246
62,111.913,2.3925,1.49038,0,0.43359,0.37575,0.3303,0.11822,2.46788,1.56921,0,0.00198188,0.00198188,0.00198188
63,113.719,2.40112,1.4821,0,0.45129,0.39355,0.35593,0.13185,2.39118,1.47812,0,0.00198128,0.00198128,0.00198128
64,115.439,2.3578,1.46475,0,0.43537,0.38776,0.3496,0.12822,2.39372,1.47429,0,0.00198067,0.00198067,0.00198067
65,117.066,2.39333,1.48551,0,0.47984,0.37753,0.35593,0.1352,2.33479,1.47106,0,0.00198006,0.00198006,0.00198006
66,118.893,2.37368,1.48633,0,0.46176,0.38579,0.36125,0.13488,2.36732,1.47084,0,0.00197943,0.00197943,0.00197943
67,120.742,2.36682,1.47635,0,0.48181,0.38429,0.37167,0.14188,2.35177,1.47215,0,0.0019788,0.0019788,0.0019788
68,122.474,2.33114,1.46016,0,0.48461,0.3858,0.36132,0.13715,2.3501,1.49208,0,0.00197815,0.00197815,0.00197815
69,124.114,2.33581,1.46723,0,0.46101,0.38129,0.36024,0.13822,2.31532,1.45341,0,0.0019775,0.0019775,0.0019775
70,125.774,2.31264,1.44306,0,0.48188,0.39805,0.37901,0.14513,2.30349,1.44073,0,0.00197683,0.00197683,0.00197683
71,127.45,2.35261,1.43603,0,0.48331,0.39605,0.38419,0.14489,2.31935,1.44777,0,0.00197616,0.00197616,0.00197616
72,129.386,2.29781,1.40215,0,0.4937,0.4048,0.38509,0.14599,2.30293,1.45795,0,0.00197547,0.00197547,0.00197547
73,131.124,2.30035,1.43292,0,0.50484,0.40608,0.38841,0.14955,2.26542,1.4682,0,0.00197478,0.00197478,0.00197478
74,132.864,2.3101,1.43907,0,0.50015,0.40054,0.39967,0.1575,2.26199,1.42886,0,0.00197408,0.00197408,0.00197408
75,134.575,2.30664,1.41662,0,0.50637,0.40605,0.39983,0.15482,2.28981,1.44169,0,0.00197337,0.00197337,0.00197337
76,136.231,2.30969,1.42249,0,0.51681,0.41006,0.40508,0.15479,2.29291,1.46467,0,0.00197265,0.00197265,0.00197265
77,138.055,2.26093,1.41607,0,0.50495,0.42769,0.4069,0.15907,2.24175,1.49266,0,0.00197192,0.00197192,0.00197192
78,139.798,2.2808,1.41673,0,0.50462,0.40906,0.38454,0.14692,2.27405,1.5468,0,0.00197118,0.00197118,0.00197118
79,141.342,2.2744,1.41562,0,0.49971,0.39329,0.38483,0.14818,2.30264,1.45985,0,0.00197043,0.00197043,0.00197043
80,143.041,2.2331,1.40071,0,0.50827,0.4033,0.40049,0.15569,2.27265,1.42434,0,0.00196967,0.00196967,0.00196967
81,144.593,2.25164,1.3924,0,0.51209,0.41481,0.40815,0.16196,2.24346,1.43845,0,0.0019689,0.0019689,0.0019689
82,146.351,2.27519,1.41496,0,0.50509,0.41747,0.40947,0.16477,2.23059,1.39199,0,0.00196812,0.00196812,0.00196812
83,148.078,2.241,1.39399,0,0.49474,0.41606,0.41072,0.16422,2.21847,1.39755,0,0.00196733,0.00196733,0.00196733
84,149.778,2.22842,1.38717,0,0.51565,0.41806,0.41578,0.1698,2.20905,1.3728,0,0.00196653,0.00196653,0.00196653
85,151.537,2.23359,1.37816,0,0.49877,0.41756,0.40866,0.16303,2.25865,1.37817,0,0.00196573,0.00196573,0.00196573
